word_id,sent_id,token_id,text,lemma,pos,morph,head,deprel,token_ner_type,join,join_norm
1,0,1,Acabada,acabar,VMP00SF,VERB|Mood=Par|Number=Sing|Gender=Fem,-,-,O,[],[]
2,0,2,aquesta,aquest,DD0FS0,DET|PronType=Dem|Gender=Fem|Number=Sing,-,-,O,[],[]
3,0,3,interpel·lació,interpel·lació,NCFS000,NOUN|Gender=Fem|Number=Sing,-,-,O,[],[]
4,0,4,",",",",Fc,PUNCT|PunctType=Comm,-,-,O,[],[]
5,0,5,suspenem,suspendre,VMIP1P0,VERB|Mood=Ind|Tense=Pres|Person=1|Number=Plur,-,-,O,[],[]
6,0,6,el,el,DA0MS0,DET|PronType=Art|Gender=Masc|Number=Sing,-,-,O,[],[]
7,0,7,Ple,ple,NP00O00,PROPN,-,-,B-ORG,[],[]
8,0,8,fins,fins,SP,ADP|AdpType=Prep,-,-,O,[],[]
9,0,9,demà,demà,RG,ADV,-,-,O,[],[]
10,0,10,a,a,SP,ADP|AdpType=Prep,-,-,O,[],[]
11,0,11,les,el,DA0FP0,DET|PronType=Art|Gender=Fem|Number=Plur,-,-,O,[],[]
12,0,12,nou,nou,AQ0MS00,ADJ|Gender=Masc|Number=Sing,-,-,O,[],[]
13,0,13,de,de,SP,ADP|AdpType=Prep,-,-,O,[],[]
14,0,14,el,el,DA0MS0,DET|PronType=Art|Gender=Masc|Number=Sing,-,-,O,[],[]
15,0,15,del,del,DA0MS0,DET|PronType=Art|Gender=Masc|Number=Sing,-,-,O,"[13, 14]","[13, 14]"
16,0,16,matí,matí,NCMS000,NOUN|Gender=Masc|Number=Sing,-,-,O,[],[]
17,0,17,.,.,Fp,PUNCT|PunctType=Peri,-,-,O,[],[]
18,1,1,Gràcies,gràcies,NP00SP0,PROPN,-,-,B-PER,[],[]
19,1,2,.,.,Fp,PUNCT|PunctType=Peri,-,-,O,[],[]
